"Table S3. Molecular formulas, point group symmetry, and common organic functional groups for the molecules in the GDB9-W1-F12 database. ",,,,Carbonyls,Hydroxyl,Ester (cyclic or acyclic),Nitrogens w/o hydrogens,,,Carbons w/o hydrogens,,,,,
dsgdb9nsd_000925,C5H4O2,7,CS,1,0,1,0,0,0,1,4,0,0,0,
dsgdb9nsd_000926,C4H3NO2,7,C1,1,0,1,1,0,0,1,3,0,0,0,
dsgdb9nsd_000927,C4H3NO2,7,CS,1,0,1,1,0,0,1,3,0,0,0,
dsgdb9nsd_000928,C4H3NO2,7,CS,1,0,1,1,0,0,1,3,0,0,0,
dsgdb9nsd_000929,C3H2N2O2,7,C1,1,0,1,2,0,0,1,2,0,0,0,
dsgdb9nsd_000930,C7H8,7,C1,0,0,0,0,0,0,1,5,0,1,0,
dsgdb9nsd_000931,C6H7N,7,C1,0,0,0,1,0,0,1,4,0,1,0,
dsgdb9nsd_000932,C6H7N,7,C1,0,0,0,1,0,0,1,4,0,1,0,
dsgdb9nsd_000933,C5H6N2,7,CS,0,0,0,2,0,0,1,3,0,1,0,
dsgdb9nsd_000934,C5H6N2,7,C1,0,0,0,2,0,0,1,3,0,1,0,
dsgdb9nsd_000935,C6H7N,7,C1,0,0,0,1,0,0,1,4,0,1,0,
dsgdb9nsd_000936,C5H6N2,7,C1,0,0,0,2,0,0,1,3,0,1,0,
dsgdb9nsd_000938,C5H6N2,7,C1,0,0,0,2,0,0,1,3,0,1,0,
dsgdb9nsd_000940,C6H7N,7,CS,0,0,0,0,0,1,1,5,0,0,0,
dsgdb9nsd_000941,C5H6N2,7,C1,0,0,0,1,0,1,1,4,0,0,0,
dsgdb9nsd_000942,C4H5N3,7,C1,0,0,0,2,0,1,1,3,0,0,0,
dsgdb9nsd_000943,C4H5N3,7,CS,0,0,0,2,0,1,1,3,0,0,0,
dsgdb9nsd_000944,C5H6N2,7,C1,0,0,0,1,0,1,1,4,0,0,0,
dsgdb9nsd_000946,C4H5N3,7,C1,0,0,0,2,0,1,1,3,0,0,0,
dsgdb9nsd_000947,C4H5N3,7,C1,0,0,0,2,0,1,1,3,0,0,0,
dsgdb9nsd_000948,C3H4N4,7,C2V,0,0,0,3,0,1,1,2,0,0,0,
dsgdb9nsd_000949,C6H6O,7,C1,0,1,0,0,0,0,1,5,0,0,0,
dsgdb9nsd_000950,C5H5NO,7,CS,0,1,0,1,0,0,1,4,0,0,0,
dsgdb9nsd_000951,C5H5NO,7,CS,0,1,0,1,0,0,1,4,0,0,0,
dsgdb9nsd_000952,C4H4N2O,7,CS,0,1,0,2,0,0,1,3,0,0,0,
dsgdb9nsd_000953,C4H4N2O,7,CS,0,1,0,2,0,0,1,3,0,0,0,
dsgdb9nsd_000954,C5H5NO,7,CS,0,1,0,1,0,0,1,4,0,0,0,
dsgdb9nsd_000955,C4H4N2O,7,C1,0,1,0,2,0,0,1,3,0,0,0,
dsgdb9nsd_000956,C4H4N2O,7,CS,0,1,0,2,0,0,1,3,0,0,0,
dsgdb9nsd_000957,C4H4N2O,7,CS,0,1,0,2,0,0,1,3,0,0,0,
dsgdb9nsd_000958,C3H3N3O,7,CS,0,1,0,3,0,0,1,2,0,0,0,
dsgdb9nsd_000959,C6H9N,7,C1,0,0,0,0,1,0,2,2,0,2,0,
dsgdb9nsd_000960,C6H8O,7,C1,0,0,1,0,0,0,2,2,0,2,0,
dsgdb9nsd_000961,C5H8N2,7,C1,0,0,0,1,1,0,2,1,0,2,0,
dsgdb9nsd_000962,C5H7NO,7,C1,0,0,1,1,0,0,2,1,0,2,0,
dsgdb9nsd_000963,C5H8N2,7,C1,0,0,0,0,1,1,2,2,0,1,0,
dsgdb9nsd_000964,C5H7NO,7,C1,0,0,1,0,0,1,2,2,0,1,0,
dsgdb9nsd_000965,C4H6N2O,7,C1,0,0,1,1,0,1,2,1,0,1,0,
dsgdb9nsd_000966,C5H8N2,7,C1,0,0,0,0,1,1,2,2,0,1,0,
dsgdb9nsd_000967,C5H7NO,7,C1,0,0,1,0,0,1,2,2,0,1,0,
dsgdb9nsd_000968,C4H6N2O,7,C1,0,0,1,1,0,1,2,1,0,1,0,
dsgdb9nsd_000969,C5H7NO,7,C1,0,1,0,0,1,0,2,2,0,1,0,
dsgdb9nsd_000970,C5H6O2,7,C1,0,1,1,0,0,0,2,2,0,1,0,
dsgdb9nsd_000971,C4H6N2O,7,C1,0,1,0,1,1,0,2,1,0,1,0,
dsgdb9nsd_000972,C4H5NO2,7,C1,0,1,1,1,0,0,2,1,0,1,0,
dsgdb9nsd_000973,C5H7NO,7,C1,0,1,0,0,1,0,2,2,0,1,0,
dsgdb9nsd_000974,C4H6N2O,7,C1,0,1,0,1,1,0,2,1,0,1,0,
dsgdb9nsd_000975,C4H6N2O,7,C1,0,0,1,0,0,2,2,2,0,0,0,
dsgdb9nsd_000976,C3H5N3O,7,C1,0,0,1,1,0,2,2,1,0,0,0,
dsgdb9nsd_000977,C4H6N2O,7,C1,0,1,0,0,1,1,2,2,0,0,0,
dsgdb9nsd_000978,C4H5NO2,7,C1,0,1,1,0,0,1,2,2,0,0,0,
dsgdb9nsd_000979,C3H5N3O,7,C1,0,1,0,1,1,1,2,1,0,0,0,
dsgdb9nsd_000980,C3H4N2O2,7,C1,0,1,1,1,0,1,2,1,0,0,0,
dsgdb9nsd_000981,C4H6N2O,7,C1,0,1,0,0,1,1,2,2,0,0,0,
dsgdb9nsd_000982,C3H5N3O,7,CS,0,1,0,1,1,1,2,1,0,0,0,
dsgdb9nsd_000983,C4H5NO2,7,C1,0,1,1,0,0,1,2,2,0,0,0,
dsgdb9nsd_000984,C4H5NO2,7,C1,0,2,0,0,1,0,2,2,0,0,0,
dsgdb9nsd_000985,C3H4N2O2,7,C1,0,2,0,1,1,0,2,1,0,0,0,
dsgdb9nsd_000986,C6H9N,7,C1,0,0,0,0,1,0,2,2,0,2,0,
dsgdb9nsd_000987,C5H8N2,7,C1,0,0,0,0,1,1,2,2,0,1,0,
dsgdb9nsd_000988,C5H7NO,7,C1,0,1,0,0,1,0,2,2,0,1,0,
dsgdb9nsd_000989,C6H8O,7,C1,0,0,1,0,0,0,2,2,0,2,0,
dsgdb9nsd_000990,C5H7NO,7,C1,0,0,1,0,0,1,2,2,0,1,0,
dsgdb9nsd_000991,C4H7N3,7,C1,0,0,0,0,1,2,2,2,0,0,0,
dsgdb9nsd_000992,C4H6N2O,7,C1,0,1,0,0,1,1,2,2,0,0,0,
dsgdb9nsd_000993,C4H6N2O,7,C1,0,0,1,0,0,2,2,2,0,0,0,
dsgdb9nsd_000994,C4H5NO2,7,C1,0,2,0,0,1,0,2,2,0,0,0,
dsgdb9nsd_000995,C6H9N,7,C1,0,0,0,1,0,0,1,3,0,2,0,
dsgdb9nsd_000996,C5H8N2,7,C1,0,0,0,1,0,1,1,3,0,1,0,
dsgdb9nsd_000997,C5H7NO,7,C1,0,1,0,1,0,0,1,3,0,1,0,
dsgdb9nsd_000998,C5H8N2,7,C1,0,0,0,2,0,0,1,2,0,2,0,
dsgdb9nsd_000999,C4H6N2O,7,C1,0,1,0,2,0,0,1,2,0,1,0,
dsgdb9nsd_001000,C5H8N2,7,C1,0,0,0,2,0,0,1,2,0,2,0,
dsgdb9nsd_001001,C4H6N2O,7,C1,0,1,0,2,0,0,1,2,0,1,0,
dsgdb9nsd_001002,C4H6N2O,7,C1,1,0,0,1,1,0,1,2,0,1,0,
dsgdb9nsd_001003,C4H6N2O,7,C1,0,0,1,1,1,0,1,2,0,1,0,
dsgdb9nsd_001004,C4H5NO2,7,C1,1,0,1,1,0,0,1,2,0,1,0,
dsgdb9nsd_001005,C6H5N,7,C1,0,0,0,0,1,0,2,4,0,0,0,
dsgdb9nsd_001006,C6H4O,7,CS,0,0,1,0,0,0,2,4,0,0,0,
dsgdb9nsd_001007,C5H4N2,7,CS,0,0,0,1,1,0,2,3,0,0,0,
dsgdb9nsd_001008,C5H3NO,7,CS,0,0,1,1,0,0,2,3,0,0,0,
dsgdb9nsd_001009,C5H4N2,7,C1,0,0,0,1,1,0,2,3,0,0,0,
dsgdb9nsd_001010,C5H3NO,7,CS,0,0,1,1,0,0,2,3,0,0,0,
dsgdb9nsd_001011,C5H4N2,7,C1,0,0,0,1,1,0,2,3,0,0,0,
dsgdb9nsd_001012,C5H3NO,7,C1,0,0,1,1,0,0,2,3,0,0,0,
dsgdb9nsd_001013,C4H3N3,7,CS,0,0,0,2,1,0,2,2,0,0,0,
dsgdb9nsd_001014,C4H2N2O,7,CS,0,0,1,2,0,0,2,2,0,0,0,
dsgdb9nsd_001015,C4H3N3,7,C1,0,0,0,2,1,0,2,2,0,0,0,
dsgdb9nsd_001016,C4H2N2O,7,C1,0,0,1,2,0,0,2,2,0,0,0,
dsgdb9nsd_001017,C6H5N,7,CS,0,0,0,0,1,0,2,4,0,0,0,
dsgdb9nsd_001019,C6H4O,7,CS,0,0,1,0,0,0,2,4,0,0,0,
dsgdb9nsd_001020,C5H3NO,7,CS,0,0,1,1,0,0,2,3,0,0,0,
dsgdb9nsd_001021,C5H4N2,7,CS,0,0,0,1,1,0,2,3,0,0,0,
dsgdb9nsd_001022,C4H3N3,7,C1,0,0,0,2,1,0,2,2,0,0,0,
dsgdb9nsd_001023,C5H3NO,7,C1,0,0,1,1,0,0,2,3,0,0,0,
dsgdb9nsd_001024,C4H2N2O,7,CS,0,0,1,2,0,0,2,2,0,0,0,
dsgdb9nsd_001025,C5H5NO,7,C1,1,0,0,0,1,0,1,4,0,0,0,
dsgdb9nsd_001026,C5H4O2,7,C1,1,0,1,0,0,0,1,4,0,0,0,
dsgdb9nsd_001027,C4H4N2O,7,C1,1,0,0,1,1,0,1,3,0,0,0,
dsgdb9nsd_001028,C4H3NO2,7,C1,1,0,1,1,0,0,1,3,0,0,0,
dsgdb9nsd_001029,C4H4N2O,7,C1,1,0,0,1,1,0,1,3,0,0,0,
dsgdb9nsd_001030,C4H3NO2,7,C1,1,0,1,1,0,0,1,3,0,0,0,
dsgdb9nsd_001031,C5H5NO,7,C1,1,0,0,0,1,0,1,4,0,0,0,
dsgdb9nsd_001032,C4H4N2O,7,C1,1,0,0,1,1,0,1,3,0,0,0,
dsgdb9nsd_001033,C5H4O2,7,C1,1,0,1,0,0,0,1,4,0,0,0,
dsgdb9nsd_001034,C4H3NO2,7,C1,1,0,1,1,0,0,1,3,0,0,0,
dsgdb9nsd_001035,C5H5NO,7,CS,1,0,0,1,0,0,0,5,0,0,0,
dsgdb9nsd_001036,C4H4N2O,7,C1,1,0,0,2,0,0,0,4,0,0,0,
dsgdb9nsd_001037,C4H6N2O,7,C1,0,0,1,1,1,0,1,2,0,1,0,
dsgdb9nsd_001038,C4H5NO2,7,C1,0,0,2,1,0,0,1,2,0,1,0,
dsgdb9nsd_001039,C6H9N,7,C1,0,0,0,0,1,0,1,3,1,1,0,
dsgdb9nsd_001040,C6H8O,7,C1,0,0,1,0,0,0,1,3,1,1,0,
dsgdb9nsd_001041,C5H7NO,7,C1,0,0,1,1,0,0,1,2,1,1,0,
dsgdb9nsd_001042,C5H8N2,7,C1,0,0,0,1,1,0,1,2,1,1,0,
dsgdb9nsd_001043,C5H7NO,7,C1,0,0,1,1,0,0,1,2,1,1,0,
dsgdb9nsd_001044,C5H8N2,7,C1,0,0,0,0,2,0,1,3,0,1,0,
dsgdb9nsd_001045,C5H7NO,7,C1,0,0,1,0,1,0,1,3,0,1,0,
dsgdb9nsd_001046,C4H6N2O,7,C1,0,0,1,1,1,0,1,2,0,1,0,
dsgdb9nsd_001047,C4H6N2O,7,C1,0,0,1,1,1,0,1,2,0,1,0,
dsgdb9nsd_001048,C5H7NO,7,C1,0,0,1,0,1,0,1,3,0,1,0,
dsgdb9nsd_001049,C5H6O2,7,C1,0,0,2,0,0,0,1,3,0,1,0,
dsgdb9nsd_001050,C4H6N2O,7,C1,0,0,1,1,1,0,1,2,0,1,0,
dsgdb9nsd_001051,C4H5NO2,7,C1,0,0,2,1,0,0,1,2,0,1,0,
dsgdb9nsd_001052,C4H6N2O,7,C1,0,0,1,1,1,0,1,2,0,1,0,
dsgdb9nsd_001053,C4H5NO2,7,C1,0,0,2,1,0,0,1,2,0,1,0,
dsgdb9nsd_001054,C4H6N2O,7,C1,0,0,1,1,0,1,1,2,1,0,0,
dsgdb9nsd_001055,C5H7NO,7,C1,0,1,0,0,1,0,1,3,1,0,0,
dsgdb9nsd_001056,C5H6O2,7,C1,0,1,1,0,0,0,1,3,1,0,0,
dsgdb9nsd_001057,C4H6N2O,7,C1,0,1,0,1,1,0,1,2,1,0,0,
dsgdb9nsd_001058,C4H5NO2,7,C1,0,1,1,1,0,0,1,2,1,0,0,
dsgdb9nsd_001059,C4H6N2O,7,C1,0,1,0,1,1,0,1,2,1,0,0,
dsgdb9nsd_001060,C4H5NO2,7,C1,0,1,1,1,0,0,1,2,1,0,0,
dsgdb9nsd_001061,C6H9N,7,C1,0,0,0,0,1,0,1,3,1,1,0,
dsgdb9nsd_001062,C5H8N2,7,C1,0,0,0,1,1,0,1,2,1,1,0,
dsgdb9nsd_001063,C6H8O,7,C1,0,0,1,0,0,0,1,3,1,1,0,
dsgdb9nsd_001064,C5H7NO,7,C1,0,0,1,1,0,0,1,2,1,1,0,
dsgdb9nsd_001065,C5H8N2,7,C1,0,0,0,0,2,0,1,3,0,1,0,
dsgdb9nsd_001066,C4H7N3,7,C1,0,0,0,1,2,0,1,2,0,1,0,
dsgdb9nsd_001067,C5H7NO,7,C1,0,0,1,0,1,0,1,3,0,1,0,
dsgdb9nsd_001068,C4H6N2O,7,C1,0,0,1,1,1,0,1,2,0,1,0,
dsgdb9nsd_001069,C5H7NO,7,C1,0,0,1,0,1,0,1,3,0,1,0,
dsgdb9nsd_001070,C4H6N2O,7,C1,0,0,1,1,1,0,1,2,0,1,0,
dsgdb9nsd_001071,C5H6O2,7,C1,0,0,2,0,0,0,1,3,0,1,0,
dsgdb9nsd_001072,C4H5NO2,7,C1,0,0,2,1,0,0,1,2,0,1,0,
dsgdb9nsd_001073,C5H7NO,7,C1,0,1,0,0,1,0,1,3,1,0,0,
dsgdb9nsd_001074,C4H6N2O,7,C1,0,1,0,1,1,0,1,2,1,0,0,
dsgdb9nsd_001075,C5H6O2,7,C1,0,1,1,0,0,0,1,3,1,0,0,
dsgdb9nsd_001076,C4H5NO2,7,C1,0,1,1,1,0,0,1,2,1,0,0,
dsgdb9nsd_001077,C6H9N,7,C1,0,0,0,1,0,0,0,4,1,1,0,
dsgdb9nsd_001078,C5H8N2,7,C1,0,0,0,2,0,0,0,3,1,1,0,
dsgdb9nsd_001079,C6H7N,7,C1,0,0,0,1,0,0,1,3,2,0,0,
dsgdb9nsd_001080,C5H6N2,7,C1,0,0,0,2,0,0,1,2,2,0,0,
dsgdb9nsd_001081,C5H6N2,7,C1,0,0,0,2,0,0,1,2,2,0,0,
dsgdb9nsd_001082,C7H12,7,C1,0,0,0,0,0,0,3,0,0,4,0,
dsgdb9nsd_001084,C7H12,7,C1,0,0,0,0,0,0,2,1,1,3,0,
dsgdb9nsd_001085,C6H11N,7,C1,0,0,0,1,0,0,2,0,1,3,0,
dsgdb9nsd_001086,C6H10O,7,C1,0,1,0,0,0,0,2,1,1,2,0,
dsgdb9nsd_001087,C5H9NO,7,C1,0,1,0,1,0,0,2,0,1,2,0,
dsgdb9nsd_001108,C4H8N2O,7,C1,1,0,0,0,2,0,2,0,0,2,0,
dsgdb9nsd_001109,C3H7N3O,7,C1,1,0,0,0,2,1,2,0,0,1,0,
dsgdb9nsd_001110,C4H7NO2,7,C1,1,0,1,0,1,0,2,0,0,2,0,
dsgdb9nsd_001111,C3H6N2O2,7,C1,1,0,1,0,1,1,2,0,0,1,0,
dsgdb9nsd_001112,C5H8O2,7,C1,2,0,0,0,0,0,2,0,1,2,0,
dsgdb9nsd_001113,C4H7NO2,7,C1,2,0,0,0,0,1,2,0,1,1,0,
dsgdb9nsd_001114,C4H7NO2,7,C1,2,0,0,0,1,0,2,0,0,2,0,
dsgdb9nsd_001115,C3H7N3O,7,C1,1,0,0,0,2,1,2,0,0,1,0,
dsgdb9nsd_001116,C3H6N2O2,7,C1,2,0,0,0,1,1,2,0,0,1,0,
dsgdb9nsd_001117,C3H6N2O2,7,C1,2,0,0,0,0,2,2,0,1,0,0,
dsgdb9nsd_001118,C3H6N2O2,7,C1,2,0,0,0,0,2,2,0,1,0,0,
dsgdb9nsd_001119,C2H5N3O2,7,C2,2,0,0,0,1,2,2,0,0,0,0,
dsgdb9nsd_001134,C5H9NO,7,C1,0,0,1,0,1,0,2,0,1,2,0,
dsgdb9nsd_001135,C6H10O,7,CS,1,0,0,0,0,0,2,0,2,2,0,
dsgdb9nsd_001136,C5H9NO,7,C1,1,0,0,0,1,0,2,0,1,2,0,
dsgdb9nsd_001137,C5H8O2,7,C1,1,0,1,0,0,0,2,0,1,2,0,
dsgdb9nsd_001138,C5H8O2,7,C1,1,1,0,0,0,0,2,0,2,1,0,
dsgdb9nsd_001149,C7H12,7,C1,0,0,0,0,0,0,2,0,3,2,0,
dsgdb9nsd_001150,C6H10O,7,C2,0,0,1,0,0,0,2,0,2,2,0,
dsgdb9nsd_001151,C6H10O,7,C1,0,1,0,0,0,0,2,0,3,1,0,
dsgdb9nsd_001152,C5H8O2,7,C1,0,2,0,0,0,0,2,0,3,0,0,
dsgdb9nsd_001153,C7H8,7,C2V,0,0,0,0,0,0,3,2,0,2,0,
dsgdb9nsd_001154,C6H7N,7,C1,0,0,0,1,0,0,3,1,0,2,0,
dsgdb9nsd_001155,C5H6N2,7,C2,0,0,0,2,0,0,3,0,0,2,0,
dsgdb9nsd_001156,C5H6N2,7,C1,0,0,0,1,0,1,3,1,0,1,0,
dsgdb9nsd_001157,C4H5N3,7,C1,0,0,0,2,0,1,3,0,0,1,0,
dsgdb9nsd_001158,C6H6O,7,C1,0,1,0,0,0,0,3,2,0,1,0,
dsgdb9nsd_001159,C5H5NO,7,C1,0,1,0,1,0,0,3,1,0,1,0,
dsgdb9nsd_001160,C4H4N2O,7,C1,0,1,0,2,0,0,3,0,0,1,0,
dsgdb9nsd_001161,C6H8O,7,C1,1,0,0,0,0,0,2,2,0,2,0,
dsgdb9nsd_001162,C5H7NO,7,C1,1,0,0,1,0,0,2,1,0,2,0,
dsgdb9nsd_001163,C5H6O2,7,C1,1,1,0,0,0,0,2,2,0,1,0,
dsgdb9nsd_001164,C4H5NO2,7,C1,1,1,0,1,0,0,2,1,0,1,0,
dsgdb9nsd_001165,C5H8O2,7,C1,2,0,0,0,0,0,1,2,0,2,0,
dsgdb9nsd_001166,C4H6O3,7,C1,2,1,0,0,0,0,1,2,0,1,0,
dsgdb9nsd_001167,C6H10O,7,C1,0,1,0,0,0,0,2,1,1,2,0,
dsgdb9nsd_001168,C5H9NO,7,C1,0,1,0,1,0,0,2,0,1,2,0,
dsgdb9nsd_001169,C4H9N3,7,C1,0,0,0,1,0,2,2,0,1,1,0,
dsgdb9nsd_001170,C4H8N2O,7,C1,0,1,0,1,0,1,2,0,1,1,0,
dsgdb9nsd_001171,C4H8N2O,7,C1,0,1,0,1,0,1,2,0,1,1,0,
dsgdb9nsd_001172,C5H8O2,7,C1,0,2,0,0,0,0,2,1,1,1,0,
dsgdb9nsd_001173,C4H7NO2,7,C1,0,2,0,1,0,0,2,0,1,1,0,
dsgdb9nsd_001174,C7H12,7,C1,0,0,0,0,0,0,2,1,1,3,0,
dsgdb9nsd_001175,C6H11N,7,C1,0,0,0,1,0,0,2,0,1,3,0,
dsgdb9nsd_001176,C5H10N2,7,C1,0,0,0,1,0,1,2,0,1,2,0,
dsgdb9nsd_001177,C6H10O,7,C1,0,1,0,0,0,0,2,1,1,2,0,
dsgdb9nsd_001178,C5H9NO,7,C1,0,1,0,1,0,0,2,0,1,2,0,
dsgdb9nsd_001179,C5H10N2,7,C1,0,0,0,1,1,0,2,0,0,3,0,
dsgdb9nsd_001180,C6H10O,7,C1,0,0,1,0,0,0,2,1,0,3,0,
dsgdb9nsd_001181,C5H9NO,7,C1,0,0,1,1,0,0,2,0,0,3,0,
dsgdb9nsd_001196,C5H7NO,7,C1,1,0,0,0,0,1,3,0,1,1,0,
dsgdb9nsd_001197,C7H12,7,C1,0,0,0,0,0,0,2,1,1,3,0,
dsgdb9nsd_001198,C6H10O,7,C1,0,1,0,0,0,0,2,1,1,2,0,
dsgdb9nsd_001199,C6H4O,7,C1,1,0,0,0,0,0,4,1,0,1,0,
dsgdb9nsd_001200,C5H3NO,7,C1,1,0,0,1,0,0,4,0,0,1,0,
dsgdb9nsd_001201,C5H3NO,7,CS,1,0,0,0,0,1,4,1,0,0,0,
dsgdb9nsd_001202,C4H2N2O,7,C1,1,0,0,1,0,1,4,0,0,0,0,
dsgdb9nsd_001203,C5H4O2,7,C1,2,0,0,0,0,0,3,1,0,1,0,
dsgdb9nsd_001204,C4H3NO2,7,C1,2,0,0,0,0,1,3,1,0,0,0,
dsgdb9nsd_001205,C5H7NO,7,C1,0,0,1,0,1,0,2,1,1,1,0,
dsgdb9nsd_001206,C4H6N2O,7,C1,0,0,1,1,1,0,2,0,1,1,0,
dsgdb9nsd_001207,C6H8O,7,C1,1,0,0,0,0,0,2,1,2,1,0,
dsgdb9nsd_001208,C5H7NO,7,C1,1,0,0,1,0,0,2,0,2,1,0,
dsgdb9nsd_001209,C5H7NO,7,C1,1,0,0,0,1,0,2,1,1,1,0,
dsgdb9nsd_001210,C4H6N2O,7,C1,1,0,0,1,1,0,2,0,1,1,0,
dsgdb9nsd_001211,C5H6O2,7,C1,1,0,1,0,0,0,2,1,1,1,0,
dsgdb9nsd_001213,C5H7NO,7,C1,1,0,0,0,0,1,2,1,2,0,0,
dsgdb9nsd_001215,C4H6N2O,7,C1,1,0,0,0,1,1,2,1,1,0,0,
dsgdb9nsd_001217,C4H5NO2,7,C1,1,0,1,0,0,1,2,1,1,0,0,
dsgdb9nsd_001218,C3H4N2O2,7,C1,1,0,1,1,0,1,2,0,1,0,0,
dsgdb9nsd_001219,C4H7NO2,7,C1,1,0,1,0,1,0,1,1,1,1,0,
dsgdb9nsd_001220,C5H8O2,7,C1,2,0,0,0,0,0,1,1,2,1,0,
dsgdb9nsd_001221,C4H7NO2,7,C1,2,0,0,0,1,0,1,1,1,1,0,
dsgdb9nsd_001222,C4H7NO2,7,C1,1,0,1,0,1,0,1,1,1,1,0,
dsgdb9nsd_001223,C4H6O3,7,C1,2,0,1,0,0,0,1,1,1,1,0,
dsgdb9nsd_001224,C4H7NO2,7,C1,2,0,0,0,1,0,1,1,1,1,0,
dsgdb9nsd_001225,C4H6O3,7,C1,2,0,1,0,0,0,1,1,1,1,0,
dsgdb9nsd_001226,C4H7NO2,7,C1,2,0,0,0,0,1,1,1,2,0,0,
dsgdb9nsd_001227,C3H6N2O2,7,C1,2,0,0,0,1,1,1,1,1,0,0,
dsgdb9nsd_001228,C3H6N2O2,7,C1,1,0,1,0,1,1,1,1,1,0,0,
dsgdb9nsd_001229,C3H5NO3,7,C1,2,0,1,0,0,1,1,1,1,0,0,
dsgdb9nsd_001230,C3H6N2O2,7,C1,2,0,0,0,1,1,1,1,1,0,0,
dsgdb9nsd_001231,C3H5NO3,7,C1,2,0,1,0,0,1,1,1,1,0,0,
dsgdb9nsd_001232,C3H6N2O2,7,C1,1,1,0,1,0,1,1,1,1,0,0,
dsgdb9nsd_001233,C7H8,7,C1,0,0,0,0,0,0,3,2,0,2,0,
dsgdb9nsd_001234,C6H7N,7,C1,0,0,0,1,0,0,3,1,0,2,0,
dsgdb9nsd_001235,C6H6O,7,C1,0,1,0,0,0,0,3,2,0,1,0,
dsgdb9nsd_001236,C5H5NO,7,C1,0,1,0,1,0,0,3,1,0,1,0,
dsgdb9nsd_001237,C6H8O,7,C1,1,0,0,0,0,0,2,2,0,2,0,
dsgdb9nsd_001238,C5H6O2,7,C1,1,1,0,0,0,0,2,2,0,1,0,
dsgdb9nsd_001239,C7H12,7,C1,0,0,0,0,0,0,1,2,2,2,0,
dsgdb9nsd_001240,C6H11N,7,C1,0,0,0,1,0,0,1,1,2,2,0,
dsgdb9nsd_001241,C5H10N2,7,C1,0,0,0,1,1,0,1,1,1,2,0,
dsgdb9nsd_001242,C6H10O,7,C1,0,0,1,0,0,0,1,2,1,2,0,
dsgdb9nsd_001243,C5H9NO,7,C1,0,0,1,1,0,0,1,1,1,2,0,
dsgdb9nsd_001244,C6H10O,7,C1,0,1,0,0,0,0,1,2,2,1,0,
dsgdb9nsd_001245,C5H9NO,7,C1,0,1,0,1,0,0,1,1,2,1,0,
dsgdb9nsd_001246,C5H10N2,7,C1,0,0,0,2,0,0,1,0,2,2,0,
dsgdb9nsd_001255,C4H8N2O,7,C1,1,0,0,1,1,0,1,1,0,2,0,
dsgdb9nsd_001256,C3H7N3O,7,C1,1,0,0,1,1,1,1,1,0,1,0,
dsgdb9nsd_001257,C4H7NO2,7,C1,1,0,1,1,0,0,1,1,0,2,0,
dsgdb9nsd_001258,C3H6N2O2,7,C1,1,0,1,1,0,1,1,1,0,1,0,
dsgdb9nsd_001259,C3H6N2O2,7,C1,1,1,0,1,0,1,1,1,1,0,0,
dsgdb9nsd_001261,C5H6O2,7,C1,1,1,0,0,0,0,3,0,1,1,0,
dsgdb9nsd_001262,C6H8O,7,C1,1,0,0,0,0,0,3,0,1,2,0,
dsgdb9nsd_001263,C5H7NO,7,C1,1,0,0,0,0,1,3,0,1,1,0,
dsgdb9nsd_001265,C4H5NO2,7,C1,1,1,0,0,0,1,3,0,1,0,0,
dsgdb9nsd_001266,C6H10O,7,C1,0,1,0,0,0,0,2,1,1,2,0,
dsgdb9nsd_001267,C5H8O2,7,C1,0,2,0,0,0,0,2,1,1,1,0,
dsgdb9nsd_001268,C7H12,7,C1,0,0,0,0,0,0,2,1,1,3,0,
dsgdb9nsd_001269,C6H10O,7,C1,0,1,0,0,0,0,2,1,1,2,0,
dsgdb9nsd_001301,C6H10O,7,C1,1,0,0,0,0,0,2,0,2,2,0,
dsgdb9nsd_001302,C5H9NO,7,C1,1,0,0,0,1,0,2,0,1,2,0,
dsgdb9nsd_001303,C5H9NO,7,C1,0,0,1,0,1,0,2,0,1,2,0,
dsgdb9nsd_001304,C5H8O2,7,CS,1,0,1,0,0,0,2,0,1,2,0,
dsgdb9nsd_001305,C5H9NO,7,C1,1,0,0,0,1,0,2,0,1,2,0,
dsgdb9nsd_001306,C5H8O2,7,C1,1,0,1,0,0,0,2,0,1,2,0,
dsgdb9nsd_001307,C4H7NO2,7,C1,1,0,1,0,0,1,2,0,1,1,0,
dsgdb9nsd_001308,C5H8O2,7,C1,1,1,0,0,0,0,2,0,2,1,0,
dsgdb9nsd_001309,C4H7NO2,7,C1,1,1,0,0,1,0,2,0,1,1,0,
dsgdb9nsd_001310,C4H7NO2,7,C1,0,1,1,0,1,0,2,0,1,1,0,
dsgdb9nsd_001311,C4H6O3,7,C1,1,1,1,0,0,0,2,0,1,1,0,
dsgdb9nsd_001320,C7H10,7,C1,0,0,0,0,0,0,2,2,1,2,0,
dsgdb9nsd_001321,C6H9N,7,C1,0,0,0,1,0,0,2,1,1,2,0,
dsgdb9nsd_001322,C6H9N,7,C1,0,0,0,0,1,0,2,2,0,2,0,
dsgdb9nsd_001323,C5H8N2,7,C1,0,0,0,1,1,0,2,1,0,2,0,
dsgdb9nsd_001324,C6H8O,7,C1,0,0,1,0,0,0,2,2,0,2,0,
dsgdb9nsd_001325,C5H7NO,7,C1,0,0,1,1,0,0,2,1,0,2,0,
dsgdb9nsd_001326,C6H8O,7,C1,0,1,0,0,0,0,2,2,1,1,0,
dsgdb9nsd_001327,C5H7NO,7,C1,0,1,0,1,0,0,2,1,1,1,0,
